,ARI,NMI,Jaccard,cov,n,type
3,0.9973752015565343,0.9938149695839368,0.46736830906528887,spherical,4,nonpca
4,0.9983648598786935,0.9954581128557819,0.00011896841141461924,spherical,4,nonpca
5,0.574011452883446,0.6082392737307978,0.1115439143575908,spherical,4,nonpca
6,0.9986913570076371,0.9964384954145176,2.112274322968907e-05,spherical,4,nonpca
7,0.9979717329658412,0.994969815656585,0.0002020817657386506,spherical,4,nonpca
8,0.9973752015565343,0.9938149695839368,0.20243187224840176,spherical,4,nonpca
9,0.9991158335607838,0.9975047263446026,5.773764735390017e-05,spherical,4,nonpca
0,0.5834160838080986,0.6303267323156037,0.6848130658782516,spherical,5,nonpca
1,0.99489375892266,0.988721296416293,0.9964058337446573,spherical,5,nonpca
2,0.5832643026086795,0.6301898361689113,0.6371084401248603,spherical,5,nonpca
3,0.5836293407322272,0.6303161584736788,0.24478915791603886,spherical,5,nonpca
4,0.5829639307752517,0.629637681293544,0.37380283328711345,spherical,5,nonpca
5,0.9665988414675927,0.9451060283522739,0.00048816365366317796,spherical,5,nonpca
6,0.5828580139111318,0.6296293614230315,0.18851944498539114,spherical,5,nonpca
7,0.5854608906752202,0.6315073529580499,0.19229983790152352,spherical,5,nonpca
8,0.6407993509020904,0.6661238612417274,0.06116034372280187,spherical,5,nonpca
9,0.5855195463359781,0.631358523009445,0.15160903444169452,spherical,5,nonpca
0,0.998396012530397,0.9961414614912998,0.317428566854362,spherical,6,nonpca
1,0.998396012530397,0.9961414614913,0.5617787302864355,spherical,6,nonpca
2,0.9993994542813851,0.9985130066048169,0.006677984335613972,spherical,6,nonpca
3,0.9991800510784612,0.9979344543284899,0.3179698210980876,spherical,6,nonpca
4,0.999088608970289,0.9977350683253228,2.6546465905821426e-05,spherical,6,nonpca
5,0.9993994542813851,0.9985130066048168,0.0,spherical,6,nonpca
6,0.9995965485687356,0.9990247494307029,0.31741836209852553,spherical,6,nonpca
7,0.9992547421984346,0.9982178623821282,0.31075,spherical,6,nonpca
8,0.9985803293071112,0.9966469329822114,0.00665,spherical,6,nonpca
9,0.9989747076409844,0.9974805326026116,0.5872000792934667,spherical,6,nonpca
0,0.5093553479310775,0.6019367623839669,0.20897964444407993,spherical,7,nonpca
1,0.5092200000032475,0.6018340356574865,0.1919955726936941,spherical,7,nonpca
2,0.509241575702196,0.6018468483819788,0.019439998074325955,spherical,7,nonpca
3,0.5093816308164001,0.6019145331192716,0.2178085401611914,spherical,7,nonpca
4,0.9977003057584964,0.9958566424550345,0.25675046565774157,spherical,7,nonpca
5,0.509241575702196,0.6018468483819788,0.0006152303570383152,spherical,7,nonpca
6,0.9971730149671659,0.9946684156144959,0.155552713188137,spherical,7,nonpca
7,0.5093450413302918,0.6019305241497701,0.0799518461157166,spherical,7,nonpca
8,0.5092307685701803,0.6018404356124499,0.03578033122244087,spherical,7,nonpca
9,0.9990090922033973,0.9979338174562077,0.0005200662867775323,spherical,7,nonpca
0,0.9985119628100864,0.9970882850124451,0.25545292725890456,spherical,8,nonpca
1,0.9990891974094019,0.9969572504312737,0.1729777213352685,spherical,8,nonpca
2,0.701543526698749,0.7670630056212636,0.23541661131252967,spherical,8,nonpca
3,0.7010709548208798,0.766516580484435,0.16582220206293738,spherical,8,nonpca
4,0.7014549940060912,0.767082338625281,2.48103186646434e-05,spherical,8,nonpca
5,0.9930780001465322,0.986547938549303,0.005380943617229193,spherical,8,nonpca
6,0.9996115925108198,0.9991864716196898,0.15780006329113924,spherical,8,nonpca
7,0.5141465209084182,0.6061705132614114,0.21437733882283724,spherical,8,nonpca
8,0.7019485416145039,0.767190805157469,0.23917415659672248,spherical,8,nonpca
9,0.998908033507112,0.997243007853292,0.00065,spherical,8,nonpca
0,0.97593209175339,0.9657250922085914,0.26903804990207786,spherical,9,nonpca
1,0.9935558744331946,0.989741632544193,0.27488585197556714,spherical,9,nonpca
2,0.9998957736861233,0.9997499514864051,0.1369,spherical,9,nonpca
3,0.8028772735230757,0.8156165378186796,0.3576660068669749,spherical,9,nonpca
4,0.9941771321856617,0.9906130383578268,0.47897654397049994,spherical,9,nonpca
5,0.9880987491147267,0.980814837245681,0.199697154535995,spherical,9,nonpca
6,0.9878375585855085,0.9804749475522985,0.1982471815420956,spherical,9,nonpca
7,0.9976077261789617,0.9958009577922103,0.1916807015797082,spherical,9,nonpca
8,0.7083721177321854,0.7735773226422828,0.15558919245341366,spherical,9,nonpca
9,0.7083762037601877,0.773582009985867,0.4365483788131617,spherical,9,nonpca
0,0.8240301839366444,0.8317583327645175,0.0819376950806748,spherical,10,nonpca
1,0.7243587221871283,0.7759910274691599,0.15642876975563563,spherical,10,nonpca
2,0.9998950687554732,0.9997503542843598,0.0869000288184438,spherical,10,nonpca
3,0.833524592767749,0.8429019116316101,0.052132039972715996,spherical,10,nonpca
4,0.8506378450306064,0.8504064509555292,0.14205799633537627,spherical,10,nonpca
5,0.8365146924936547,0.8467722208737366,0.2653405458440448,spherical,10,nonpca
6,0.8507365950485699,0.850490840326679,0.059493145085957835,spherical,10,nonpca
7,0.8341698923028211,0.8423776253373841,0.01293147958318798,spherical,10,nonpca
8,0.850510097197531,0.8502959521401006,0.06087947049114367,spherical,10,nonpca
9,0.8517891776551271,0.8516048303651022,0.0016756914825111575,spherical,10,nonpca
0,0.8064288739567449,0.8131247762040366,0.0006203545239937178,spherical,11,nonpca
1,0.7173622047640217,0.7348857743408684,0.019410217586012694,spherical,11,nonpca
2,0.8810826276436887,0.864318061491518,0.0625074068029668,spherical,11,nonpca
3,0.7140025476029558,0.7365909849480866,0.07750546014980111,spherical,11,nonpca
4,0.7427160751993437,0.7148847338648796,0.047127351927530745,spherical,11,nonpca
5,0.8272645059138335,0.8289413834417204,0.004769054771954436,spherical,11,nonpca
6,0.9982020141259356,0.996174718605842,0.0003362949833292978,spherical,11,nonpca
7,0.7110207662242605,0.7298533996559676,0.1407863900097057,spherical,11,nonpca
8,0.7132580191723221,0.7218038485897579,0.12647680448320614,spherical,11,nonpca
9,0.8816379931882927,0.8646864530874384,0.06794675501136983,spherical,11,nonpca
0,0.7397326562801997,0.7687792715746213,0.0009786098169879552,spherical,12,nonpca
1,0.7094995256178595,0.732762415425191,0.11910821876037087,spherical,12,nonpca
2,0.7096963621036636,0.7328391138489389,0.4313558341815924,spherical,12,nonpca
3,0.7373495937863345,0.7515246773588219,0.014608137672289615,spherical,12,nonpca
4,0.7373495937863345,0.7515246773588221,0.2371313531028762,spherical,12,nonpca
5,0.5734110000195205,0.6515250318028365,0.04539927459245952,spherical,12,nonpca
6,0.7191886833015261,0.7475364225628746,0.005466794482953767,spherical,12,nonpca
7,0.7366410486678825,0.7505861290381869,0.17630221609048632,spherical,12,nonpca
8,0.9990656212835544,0.9980580164667142,0.28147165139616054,spherical,12,nonpca
9,0.6855576733451181,0.7460354918744236,0.17440535061712883,spherical,12,nonpca
0,1.0,1.0,1.0,spherical,2,pca
1,1.0,1.0,0.0,spherical,2,pca
2,1.0,1.0,1.0,spherical,2,pca
3,1.0,1.0,0.0,spherical,2,pca
4,1.0,1.0,0.0,spherical,2,pca
5,1.0,1.0,1.0,spherical,2,pca
6,1.0,1.0,0.0,spherical,2,pca
7,1.0,1.0,0.0,spherical,2,pca
8,1.0,1.0,0.0,spherical,2,pca
9,1.0,1.0,0.0,spherical,2,pca
0,1.0,1.0,0.3515,spherical,3,pca
1,1.0,1.0,1.0,spherical,3,pca
2,0.9982038021209232,0.9947757115477408,0.35105057536581896,spherical,3,pca
3,0.9984032926645554,0.9952873968005478,0.0,spherical,3,pca
4,0.9990018947819465,0.9968830997180249,0.3512501776830135,spherical,3,pca
5,1.0,1.0,0.3515,spherical,3,pca
6,0.9704528065364841,0.9438270937196799,0.6344354871005006,spherical,3,pca
7,1.0,1.0,0.3515,spherical,3,pca
8,0.9980043333231682,0.9942721636336652,0.0,spherical,3,pca
9,1.0,1.0,1.0,spherical,3,pca
0,0.9986567567243115,0.996513238212997,0.3466708051303001,spherical,4,pca
1,0.9746080354201204,0.9537726644012786,0.3955180784131341,spherical,4,pca
2,0.9986567567243115,0.996513238212997,0.00013729376871409672,spherical,4,pca
3,1.0,1.0,0.4009,spherical,4,pca
4,0.9955598419497993,0.9901643975531039,0.00018795545869372744,spherical,4,pca
5,1.0,0.9999999999999998,0.39425,spherical,4,pca
6,0.9986567567243115,0.996513238212997,0.3399001101968851,spherical,4,pca
7,0.98921234806095,0.9800072786586052,0.0004305786498170935,spherical,4,pca
8,0.991180725517988,0.9826631407669087,0.0004094923012900542,spherical,4,pca
9,0.9985109174782445,0.9961882773099577,0.3399001101968851,spherical,4,pca
0,0.4658372069540412,0.5437508536262695,0.3139953470194211,spherical,5,pca
1,0.4632003719671767,0.5444324050187421,0.006693835517454737,spherical,5,pca
2,0.6784326330761097,0.6738681462874072,0.13725196325444805,spherical,5,pca
3,0.9978302111119416,0.9954768876320451,0.387901193023639,spherical,5,pca
4,0.46740935435352177,0.5436335900901491,0.13679425174380147,spherical,5,pca
5,0.46610259518314834,0.5439397608951405,0.21307536269729685,spherical,5,pca
6,0.6784326330761097,0.6738681462874071,0.06257141486092553,spherical,5,pca
7,0.4660087322698343,0.5440001919901741,0.1433242685104834,spherical,5,pca
8,0.4657222269274532,0.5437349119839839,0.06509745264852622,spherical,5,pca
9,0.4657222269274532,0.5437349119839839,0.035024044095000394,spherical,5,pca
0,0.46724585410942865,0.5456757060532211,0.0009896681517898296,spherical,6,pca
1,0.9992811651577315,0.9984483196004678,0.0,spherical,6,pca
2,0.9809766175721546,0.9678713318404661,0.0006897137745974955,spherical,6,pca
3,0.999846063504462,0.9996464637549493,0.0,spherical,6,pca
4,0.46665247572089097,0.5455560939588977,0.0043953633618323005,spherical,6,pca
5,0.9706445262513202,0.9538932637488812,0.6012943963832204,spherical,6,pca
6,0.46733561786325634,0.5455889034378629,0.316585172679832,spherical,6,pca
7,0.9808341002296801,0.9676909950759145,0.20266509674739,spherical,6,pca
8,0.981079399419927,0.970661991969451,0.6011059503980892,spherical,6,pca
9,0.46724585410942865,0.5456757060532211,0.05403664178483126,spherical,6,pca
0,0.9991372547614863,0.9982431624255134,2.420039411853873e-05,spherical,7,pca
1,0.9957517352901974,0.9925721422132678,0.24870751640485186,spherical,7,pca
2,1.0,1.0,0.2507,spherical,7,pca
3,0.9991372547614863,0.9982431624255134,0.45330035942492014,spherical,7,pca
4,0.9991372547614863,0.9982431624255134,2.023894436519258e-05,spherical,7,pca
5,0.9989095000134984,0.9978010924034441,0.3717702365386901,spherical,7,pca
6,1.0,1.0,0.17085,spherical,7,pca
7,1.0,1.0,0.2535,spherical,7,pca
8,0.9989095000134984,0.9978010924034441,4.840078823707746e-05,spherical,7,pca
9,0.9990110790142746,0.9980394926764157,0.24975048911958475,spherical,7,pca
0,1.0,1.0,0.167,spherical,8,pca
1,1.0,1.0,0.2128,spherical,8,pca
2,1.0,1.0,0.1699,spherical,8,pca
